umap_n_neighbors,hdbscan_min_cluster_size,hdbscan_min_samples,n_topics,outlier_share,cv_coherence
10,30,5,165,0.25622807806457415,0.5696992035205241
10,30,10,164,0.2974188326288335,0.5836450102430756
10,50,5,100,0.28797553736846837,0.6274932456094984
10,50,10,97,0.31036963755733427,0.6447058676152361
10,100,5,57,0.3458044788200378,0.656487260236703
10,100,10,54,0.33735048115837757,0.6634886643356028
15,30,5,163,0.30600773450849894,0.5789320279880963
15,30,10,149,0.32386005935785595,0.5935740706579248
15,50,5,97,0.342611745660581,0.62121233093464
15,50,10,92,0.3548880294990557,0.6415379052513135
15,100,5,54,0.37444914110981203,0.6844349207738928
15,100,10,52,0.39293101897652666,0.6840935171569976
25,30,5,148,0.33217915280151095,0.5975933730566875
25,30,10,137,0.34715352100008995,0.5935946273643531
25,50,5,93,0.3698174296249663,0.6393654787023251
25,50,10,89,0.3632071229427107,0.6394592534625598
25,100,5,52,0.4116827052792517,0.6797938417039213
25,100,10,52,0.40615163234103785,0.6552362355805541
